	name	CID
0	neisseria meningitidis group a capsular oligosaccharide diphtheria crm197 protein conjugate antigen	146173135
1	follicle stimulating hormone beta polypeptide	146173134
2	von willebrand factor (recombinant)	146173133
3	sus scrofa stomach	146173132
4	plantago afra seed	146173131
5	panax ginseng whole	146173130
6	carbomer homopolymer type c (allyl pentaerythritol crosslinked)	146173129
7	celery seed	146173128
8	vantictumab	146173127
9	telbermin	146173126
10	streptococcus faecalis	146173125
11	balsam peru	146173124
12	pygeum	146173123
13	platelet derived growth factor-bb	146173122
14	polyphenols, tea	146173121
15	crataegus fruit	146173120
16	papaya	146173119
17	tocilizumab	146173118
18	bifidobacterium bifidum	146173117
19	bos taurus adrenal cortex corticosteroids	146173116
20	carbohydrates	146173115
21	ieramilimab	146173114
22	seribantumab	146173113
23	populus alba pollen	146173112
24	patiromer	146173111
25	mus musculus skin	146173110
26	rehmannia glutinosa root	146173109
27	bacillus anthracis strain v770-np1-r antigen	146173108
28	mag carbonate	146173107
29	human red blood cell	146173106
30	farletuzumab	146173105
31	pegzerepoetin alfa	146173104
32	veratrum album root	146173103
33	oenothera biennis (evening primrose) seed extract	146173102
34	lentil	146173101
35	algeldrate	146173100
36	hydrophilic ointment	146173098
37	peumus boldus	146173097
38	becaplermin	146173096
39	canis lupus familiaris skin	146173095
40	alclometasone	146173094
41	elaeagnus angustifolia pollen	146173093
42	dinutuximab beta	146173092
43	fraxinus velutina pollen	146173091
44	mammal liver	146173090
45	blueberry	146173089
46	 nevirapine 	146173088
47	phleum pratense pollen	146173087
48	penicillium roqueforti	146173086
49	eptaplatin	146173085
50	asian ginseng	146173084
51	serum, horse	146173083
52	diphtheria and tetanus toxoids and acellular pertussis vaccine adsorbed pf	146173082
53	bimekizumab	146173081
54	cottonseed oil	146173080
55	white wax	146173079
56	thrombomodulin alfa	146173078
57	adenosine cyclic phosphate meglumine	146173077
58	alternaria alternata	146173076
59	sedum roseum root	146173075
60	carpinus caroliniana pollen	146173074
61	pit viper (crotalinae) immune globulin antivenin (equine)	146173072
62	menotropins	146173071
63	sod cl	146173070
64	chamomile flower oil	146173069
65	rinfabate	146173068
66	allergenic extract- candida	146173067
67	coagulation factor ix human	146173066
68	penicillium expansum	146173065
69	penicillium chrysogenum var	146173064
70	protein s human	146173063
71	filgrastim	146173062
72	soap	146173061
73	ritodrine	146173060
74	ritodrine hydrochloride	146173060
75	chondrus crispus	146173059
76	grape	146173058
77	gevokizumab	146173057
78	celtis occidentalis pollen	146173056
79	mahonia aquifolium root bark	146173055
80	smilax china root	146173054
81	cisplatin	146173053
82	basic fibroblast growth factor	146173052
83	pegfilgrastim-cbqv	146173051
84	vespula vulgaris venom protein	146173050
85	petrolatum	146173049
86	bromus secalinus pollen	146173048
87	cashew	146173047
88	heparin sodium, bovine	146173046
89	varicella-zoster vaccine	146173045
90	erythroxylum coca leaf	146173044
91	ascophyllum nodosum	146173043
92	lonicera caprifolium flower	146173042
93	phenylephrine and	146173041
94	sunflower seed	146173040
95	influenza a virus a/singapore/gp1908/2015 ivr-180 (h1n1) antigen (uv, formaldehyde inactivated)	146173039
96	tocopherol	146173038
97	matricaria chamomilla whole	146173037
98	cow milk	146173036
99	unspecified ingredient	146173035
100	cedar leaf oil	146173034
101	vaccinia immune globulin human	146173033
102	allergenic extract- epicoccum nigrum	146173032
103	bifidobacterium animalis subsp. lactis	146173031
104	bee pollen	146173030
105	coagulation factor viia human	146173029
106	codonopsis pilosula root	146173028
107	methylcelluloses	146173027
108	acrylylfentanyl	146173026
109	hypromellose 2910 (4000 mpa.s)	146173025
110	ubiquinol	146173024
111	human rotavirus a type g2p7(5) strain sc2 live antigen	146173023
112	cabiralizumab	146173022
113	calcitonin porcine	146173021
114	von willebrand factor human	146173020
115	urtica dioica pollen	146173018
116	aluminum zirconium octachlorohydrex gly	146173017
117	sodium bicar	146173016
118	lambrolizumab	146173015
119	candida tropicalis	146173014
120	caplacizumab-yhdp	146173013
121	candida albicans	146173012
122	lebrikizumab	146173011
123	prolactin	146173010
124	aspergillus niger v	146173009
125	north american coral snake antivenin (micrurus fulvius) (equine)	146173008
126	neisseria meningitidis group b fhbp fusion protein antigen	146173007
127	insulin pork	146173006
128	certolizumab pegol	146173005
129	haemophilus b polysaccharide vaccine	146173004
130	tears naturale ii	146173003
131	burosumab	146173001
132	melilotus officinalis top	146173000
133	house dust	146172999
134	aureobasidium pullulans var. pullutans	146172998
135	haemophilus influenzae type b strain 20752 capsular polysaccharide tetanus toxoid conjugate antigen	146172997
136	cocillana	146172996
137	grapefruit juice	146172995
138	neisseria meningitidis group a capsular polysaccharide diphtheria toxoid conjugate antigen	146172994
139	ibalizumab-uiyk	146172993
140	broccoli	146172992
141	hamamelis virginiana bark	146172991
142	 sulfamethoxazole	146172990
143	betula populifolia pollen	146172989
144	bfcr-4350a	146172988
145	pegloticase	146172987
146	benzalkonium	146172986
147	benzalkonium chloride	146172986
148	populus nigra pollen	146172985
149	mogamulizumab	146172984
150	megestrol	146172983
151	megestrol acetate	146172983
152	pelareorep	146172982
153	gibberella fujikuroi	146172981
154	coral snake (micrurus fulvius) immune globulin antivenin (equine)	146172980
155	bordetella pertussis filamentous hemagglutinin antigen (formaldehyde inactivated)	146172979
156	collagen	146172978
157	aconitum napellus root	146172977
158	cyclobarbital aminophenazone	146172976
159	strychnos ignatii seed	146172975
160	atezolizumab	146172974
161	frangula alnus bark	146172973
162	morella cerifera pollen	146172972
163	human cytomegalovirus immune globulin	146172971
164	streptokinase	146172970
165	yttrium y-90 clivatuzumab tetraxetan	146172969
166	canola oil	146172968
167	ascorbic acid/ chromium/ selenium/vanadyl sulfate	146172967
168	moringa oleifera leaf	146172966
169	eucalyptus globulus leaf	146172965
170	coagulation factor vii human	146172964
171	asfotase alfa	146172963
172	recombinant vesicular stomatitis virus pseudotyped with ebola zaire glycoprotein	146172962
173	avena sativa pollen	146172961
174	certoparin sodium	146172960
175	darbepoetin alfa	146172959
176	solanezumab	146172958
177	tabalumab	146172957
178	sisymbrium officinale whole	146172956
179	rasdegafusp alfa	146172955
180	d+c yellow no. 10	146172954
181	oregano	146172953
182	peginterferon alfa-2a	146172952
183	fusarium oxysporum vasinfectum	146172951
184	dulaglutide	146172950
185	rilotumumab	146172949
186	euphrasia stricta	146172948
187	arabica coffee bean	146172947
188	octinox	146172946
189	iodine i-131	146172945
190	 aspergillus niger var. niger	146172944
191	gonadorelin	146172943
192	gonadorelin acetate	146172943
193	aspergillus fumigatus	146172942
194	alglucerase	146172941
195	albinterferon alfa-2b	146172940
196	jojoba oil	146172939
197	amino acids, source unspecified	146172938
198	bacillus cereus	146172937
199	rosehip	146172936
200	enfortumab vedotin-ejfv	146172935
201	neisseria meningitidis group c capsular oligosaccharide diphtheria crm197 protein conjugate antigen	146172934
202	moxetumomab pasudotox	146172933
203	collodion	146172932
204	pulsatilla vulgaris	146172931
205	neurotropin	146172930
206	lecithin	146172929
207	evinacumab	146172928
208	magnesium sulfate, unspecified form	146172927
209	evolocumab	146172926
